15:05:04.101515 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
15:05:04.898580 IP6 fe80::d4a3:10ff:feef:279d > ff02::2: ICMP6, router solicitation, length 16
15:05:04.909558 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::d460:9eff:fec4:947e (138)
15:05:05.007718 IP6 fe80::e84a:3fff:fea8:da5f.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::e84a:3fff:fea8:da5f (138)
15:05:05.139783 IP6 fe80::e84a:3fff:fea8:da5f > ff02::2: ICMP6, router solicitation, length 16
15:05:05.160730 IP6 fe80::ccb3:b6ff:fec6:c78 > ff02::2: ICMP6, router solicitation, length 16
15:05:05.358848 ARP, Request who-has 10.0.0.7 tell 10.0.0.1, length 28
15:05:05.360534 ARP, Reply 10.0.0.7 is-at f6:a2:ac:27:f4:9a, length 28
15:05:05.381720 IP6 fe80::d460:9eff:fec4:947e > ff02::2: ICMP6, router solicitation, length 16
15:05:05.469379 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.470232 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.470741 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.471881 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.471927 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.472727 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.473545 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.474386 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.475215 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.476055 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.476901 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.477726 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.478567 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.479426 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.480255 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.481094 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.481911 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.482749 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.483597 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.484426 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.485262 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
