PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=219 ms
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=1251 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=26.9 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=24.7 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=26.2 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=25.1 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=23.9 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=26.6 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=23.3 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=24.7 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=27.1 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=26.9 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=24.8 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=25.0 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=27.0 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=24.0 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=26.7 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=25.7 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=25.8 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=27.8 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=22.8 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=25.0 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=25.9 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=24.9 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=24.9 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=23.9 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=23.7 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=26.1 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=24.1 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=25.9 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=26.6 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=27.7 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=24.8 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=24.9 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=23.7 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=25.8 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=22.8 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=24.8 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=26.4 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=25.7 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=25.0 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=23.3 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=26.7 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=28.3 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=27.8 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=24.9 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=27.9 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=44.4 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=27.3 ms
64 bytes from 10.0.0.7: icmp_seq=71 ttl=64 time=25.9 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=75 ttl=64 time=24.9 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=25.9 ms
64 bytes from 10.0.0.7: icmp_seq=77 ttl=64 time=27.9 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=26.8 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=27.9 ms

--- 10.0.0.7 ping statistics ---
80 packets transmitted, 61 received, 23% packet loss, time 79467ms
rtt min/avg/max/mdev = 22.835/49.374/1251.066/157.093 ms, pipe 2
